	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_055760	0.0130300579794393	0.986969942020561	1.15594846277521	1.15601698138896	1405.01899096402	1215.39514852634
gene:Smp_055770	0.986491633690173	0.0135083663098269	0.966202698382779	0.96618231705757	855.563323539336	885.509542672769
gene:Smp_055780	0.946068807615814	0.053931192384186	0.779098421910121	0.778955479125601	642.822400646332	825.239218823043
gene:Smp_055800	0.877702846855811	0.122297153144189	0.899575502966057	0.899561705477664	3496.37403401441	3886.75397930684
gene:Smp_055870	0.989970109239647	0.0100298907603529	0.990391828173885	0.990384475622873	691.1125768186	697.822603226075
gene:Smp_055880	0.591207250928374	0.408792749071626	1.11317829407763	1.11325463852503	881.300090130981	791.641846426297
gene:Smp_055890	0.982891545151896	0.0171084548481042	1.07373136957353	1.07375440500928	1835.29973797882	1709.23536320105
gene:Smp_055900	0.518830222770326	0.481169777229674	1.20626474265991	1.20640852120639	924.206777151389	766.079397501261
gene:Smp_055920	0.949965209823177	0.0500347901768231	1.10825767325937	1.10833071744641	877.174481960351	791.436513348812
gene:Smp_055960	0.987945869985197	0.0120541300148029	1.08283080544642	1.0828569046894	1835.19078129574	1694.76681986258
gene:Smp_055990	0.00106575014146493	0.998934249858535	1.21972052407666	1.21974135276332	6871.07037625031	5633.21737290483
gene:Smp_056060	1	1.01706164741087e-17	0.85091976279812	0.844996414767449	11.3468066524023	13.4300648972313
gene:Smp_056080	0.857686715669543	0.142313284330457	0.440073125005005	0.321877066935786	0.804267117071368	2.51974567223148
gene:Smp_056200	0.257841458917678	0.742158541082322	1.18466958609729	1.18476929070129	1171.81428187701	989.063814686219
gene:Smp_056240	2.22129641580526e-05	0.999977787035842	1.21295511295906	1.21311535780249	860.893851675387	709.653632677836
gene:Smp_056260	0.623521277002493	0.376478722997507	1.32272083478477	1.32515087193337	93.9683811023191	70.9090048414686
gene:Smp_056280	1	1.31377697941041e-16	0.770216680469125	0.768186689221451	46.4243801636041	60.4367388137965
gene:Smp_056350	0.985956402260412	0.0140435977395877	0.943548413931489	0.943479337913103	411.736377474759	436.402712954061
gene:Smp_056360	0.000403962394236124	0.999596037605764	1.19788822726493	1.19789656930116	15174.5374775947	12667.6508535972
gene:Smp_056370	0.995508432092886	0.00449156790711372	1.07061113451058	1.07067695104232	613.392004990372	572.900441747358
gene:Smp_056390	0.977209531567571	0.0227904684324293	1.0785821434399	1.07862119619114	1159.00679023283	1074.52552213288
