	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean
gene:Smp_341790	0.977409949475967	0.0225900505240326	0.671094601385478	0.670077057895872	99.1614694566001	147.99009683664
gene:Smp_341800	0.0644797038452821	0.935520296154718	1.07797296710703	1.07798292567398	3864.57685865515	3585.00676289438
gene:Smp_341810	0.975913599508985	0.0240864004910153	0.852937358709247	0.852886988081477	1140.13599091882	1336.79781492929
gene:Smp_341820	0.999999999999996	3.55445453475389e-15	1.52531848382815	1.71069111405477	2.20969164337069	1.28754087405614
gene:Smp_341830	0.995542184625298	0.00445781537470245	0.952119286218516	0.952097779739443	970.537577942296	1019.36804981323
gene:Smp_341840	0.987924448298323	0.0120755517016767	0.919949474151934	0.919833349000308	290.319404720946	315.622614360505
gene:Smp_341860	0.922832744070486	0.0771672559295139	1.13299724855268	1.13308673084203	771.093547038919	680.523560273794
gene:Smp_341870	0.996522336637037	0.00347766336296299	0.975627254721757	0.975611296872165	682.251524370874	699.306958053091
gene:Smp_341880	0.988828372569189	0.0111716274308105	0.906888172307539	0.906790089161712	394.139706296049	434.654770829623
gene:Smp_341890	0.994910490514395	0.00508950948560525	1.03244381780409	1.03245175447201	1932.43654133958	1871.69638528075
gene:Smp_341900	0.99896450779349	0.00103549220650994	0.995657609959211	0.995657044043054	3498.07602154127	3513.33432118978
gene:Smp_341910	0.99208443365392	0.00791556634608024	1.06389185878829	1.06396431107439	429.590192971021	403.763123308256
gene:Smp_341920	0.865450526920934	0.134549473079066	1.18099756164405	1.18131656597512	306.882599964633	259.778619582514
gene:Smp_341930	0.999999999999999	9.71067271133354e-16	1.14291223641287	1.1477695466	15.4522343838578	13.4615496065052
