	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_067430.1	0.0931855280880056	0.906814471911994	0.652001182783258	0.64932883287154	46.7671014485239	72.0291565574882
transcript:Smp_067480.1	0.781315162231758	0.218684837768242	0.825084587639675	0.825012503299765	1107.45971162933	1342.35718498185
transcript:Smp_067480.2	1	2.55939998597509e-18	1.2296635703299	1.23357595295996	40.0490697001142	32.4639385556217
transcript:Smp_067490.1	0.913642878520706	0.0863571214792945	0.849053179812254	0.84893474380063	598.537577540812	705.047228381478
transcript:Smp_067510.1	0.960088764924969	0.0399112350750313	0.869607341480624	0.868638446077744	64.659494584888	74.4392658330944
transcript:Smp_067520.1	0.99544608986222	0.00455391013777958	0.992542731834658	0.992536888905258	700.767183825081	706.036487197085
transcript:Smp_067520.2	0.977367679716204	0.0226323202837965	1.00218709120367	1.00223986967883	22.9655493930634	22.9142021677166
transcript:Smp_067540.1	2.50251575018012e-09	0.999999997497484	0.794380181248564	0.794306240806572	1221.94462394115	1538.38232422539
transcript:Smp_067580.1	0.988586621525527	0.0114133784744733	0.948860384045181	0.94884437693963	1676.95429693127	1767.36549137414
transcript:Smp_067590.1	0.980674552801433	0.0193254471985667	0.930094045939383	0.930025311297458	523.249878097925	562.61971742988
transcript:Smp_067780.1	0.977494502872762	0.0225054971272378	0.901116468550784	0.90085972728821	191.93183501279	213.055174520097
transcript:Smp_067810.1	0.942902912345227	0.0570970876547728	1.10692105903937	1.10695383552421	1997.6177414972	1804.60702863263
transcript:Smp_067890.1	0.99787185026776	0.00212814973223981	0.975451731451783	0.975435158650361	799.285778005261	819.414818673943
transcript:Smp_067900.1	0.994620932932339	0.00537906706766112	0.955066971421089	0.955057966604184	2636.34998640125	2760.40882125241
transcript:Smp_067930.1	0.924496146504712	0.0755038534952882	0.880700356006089	0.880577715656804	473.858275306444	538.123394566993
transcript:Smp_068000.1	0.995260516697209	0.00473948330279058	0.979351957555515	0.979347318343072	2411.313822738	2462.16432526149
transcript:Smp_068060.1	0.939298665771375	0.0607013342286255	1.2250816176985	1.22517594766527	1617.22444736446	1319.99179275989
